Family,Genus,Species,records
Acroporidae,Acropora,119,2372
,Alveopora,1,2
,Anacropora,3,6
,Astreopora,4,25
,Montipora,38,480
Agariciidae,Coeloseris,1,3
,Leptoseris,1,8
,Pavona,8,73
Dendrophylliidae,Duncanopsammia,1,2
,Tubastraea,1,5
,Turbinaria,5,25
Euphylliidae,Euphyllia,2,26
,Galaxea,4,305
Incertae sedis,Blastomussa,1,1
,Leptastrea,2,16
,Pachyseris,2,27
,Physogyra,1,6
,Plerogyra,1,1
Poritidae,Goniopora,7,17
,Porites,12,207
Diploastraeidae,Diploastrea,1,18
Fungiidae,Ctenactis,2,60
,Danafungia,1,2
,Fungia,2,8
,Heliofungia,1,26
,Herpolitha,1,42
,Lithophyllon,4,39
,Lobactis,1,10
,Pleuractis,1,1
,Polyphyllia,1,1
,Sandalolitha,1,4
Lobophyllidae,Acanthastrea,4,36
,Echinophyllia,4,65
,Homophyllia,1,1
,Lobophyllia,8,64
,Micromussa,2,12
,Moseleya,1,2
,Oxypora,2,13
Merulinidae,Astrea,1,32
,Australogyra,1,4
,Caulastraea,2,10
,Coelastrea,2,93
,Cyphastrea,6,103
,Dipsastraea,12,218
,Echinopora,5,58
,Favites,14,532
,Goniastrea,8,197
,Hydnophora,4,29
,Leptoria,1,38
,Merulina,3,58
,Mycedium,3,36
,Oulophyllia,2,13
,Paragoniastrea,3,54
,Pectinia,4,71
,Platygyra,9,509
,Scapophyllia,1,16
Plesiastreidae,Plesiastrea,1,2
Pocilloporidae,Palauastrea,1,2
,Pocillopora,5,75
,Stylophora,1,4
Psammocoridae,Psammocora,2,13
,total,343,6178
